year,Value,Units,variable_code
2021,Level 4,MN213,Dollars (millions)
2021,Level 4,MN213,Dollars (millions)
2021,Level 4,MN213,Dollars (millions)
2021,Level 4,MN213,Dollars (millions)
2021,Level 4,MN213,Dollars (millions)
2021,Level 4,MN213,Dollars (millions)
2021,Level 4,MN213,Dollars (millions)
2021,Level 4,MN213,Dollars (millions)
2021,Level 4,MN213,Dollars (millions)
2021,Level 4,MN213,Dollars (millions)
2021,Level 4,MN213,Dollars (millions)
2021,Level 4,MN213,Dollars (millions)
2021,Level 4,MN213,Dollars (millions)
2021,Level 4,MN213,Dollars (millions)
2021,Level 4,MN213,Dollars (millions)
2021,Level 4,MN213,Dollars (millions)
2021,Level 4,MN213,Dollars (millions)
2021,Level 4,MN213,Dollars (millions)
2021,Level 4,MN213,Dollars (millions)
2021,Level 4,MN213,Dollars (millions)
2021,Level 4,MN213,Dollars (millions)
2021,Level 4,MN213,Dollars
2021,Level 4,MN213,Dollars
2021,Level 4,MN213,Percentage
2021,Level 4,MN213,Percentage
2021,Level 4,MN213,Percentage
2021,Level 4,MN213,Percentage
2021,Level 4,MN213,Percentage
2021,Level 1,OO,Dollars (millions)
2021,Level 1,OO,Dollars (millions)
2021,Level 1,OO,Dollars (millions)
2021,Level 1,OO,Dollars (millions)
2021,Level 1,OO,Dollars (millions)
2021,Level 1,OO,Dollars (millions)
2021,Level 1,OO,Dollars (millions)
2021,Level 1,OO,Dollars (millions)
2021,Level 1,OO,Dollars (millions)
2021,Level 1,OO,Dollars (millions)
2021,Level 1,OO,Dollars (millions)
2021,Level 1,OO,Dollars (millions)
2021,Level 1,OO,Dollars (millions)
2021,Level 1,OO,Dollars (millions)
2021,Level 1,OO,Dollars (millions)
2021,Level 1,OO,Dollars (millions)
2021,Level 1,OO,Dollars (millions)
2021,Level 1,OO,Dollars (millions)
2021,Level 1,OO,Dollars (millions)
2021,Level 1,OO,Dollars (millions)
2021,Level 1,OO,Dollars (millions)
2021,Level 1,OO,Dollars (millions)
2021,Level 1,OO,Dollars (millions)
2021,Level 1,OO,Dollars (millions)
2021,Level 1,OO,Dollars (millions)
2021,Level 1,OO,Dollars (millions)
2021,Level 1,OO,Percentage
2021,Level 1,OO,Percentage
2021,Level 1,OO,Percentage
2021,Level 1,OO,Percentage
2021,Level 1,OO,Percentage
2021,Level 3,OO21,Dollars (millions)
2021,Level 3,OO21,Dollars (millions)
2021,Level 3,OO21,Dollars (millions)
2021,Level 3,OO21,Dollars (millions)
2021,Level 3,OO21,Dollars (millions)
2021,Level 3,OO21,Dollars (millions)
2021,Level 3,OO21,Dollars (millions)
2021,Level 3,OO21,Dollars (millions)
2021,Level 3,OO21,Dollars (millions)
2021,Level 3,OO21,Dollars (millions)
2021,Level 3,OO21,Dollars (millions)
2021,Level 3,OO21,Dollars (millions)
2021,Level 3,OO21,Dollars (millions)
2021,Level 3,OO21,Dollars (millions)
2021,Level 3,OO21,Dollars (millions)
2021,Level 3,OO21,Dollars (millions)
2021,Level 3,OO21,Dollars (millions)
2021,Level 3,OO21,Dollars (millions)
2021,Level 3,OO21,Dollars (millions)
2021,Level 3,OO21,Dollars (millions)
2021,Level 3,OO21,Dollars (millions)
2021,Level 3,OO21,Dollars (millions)
2021,Level 3,OO21,Dollars (millions)
2021,Level 3,OO21,Dollars (millions)
2021,Level 3,OO21,Dollars (millions)
2021,Level 3,OO21,Dollars (millions)
2021,Level 3,OO21,Percentage
2021,Level 3,OO21,Percentage
